replicate,model,MAE,RMSE,R2,n_train_rows,n_test_rows,n_train_students,n_test_students
1,M2_SHUFFLED_ACTIVITY,11.786309698151644,15.420284091799777,0.4824315712115297,34149,8514,10361,2591
2,M2_SHUFFLED_ACTIVITY,11.767489411153472,15.405076193950938,0.4834519475404312,34149,8514,10361,2591
3,M2_SHUFFLED_ACTIVITY,11.771704371989909,15.40066889090629,0.4837474680710584,34149,8514,10361,2591
4,M2_SHUFFLED_ACTIVITY,11.781107044019276,15.414002788237553,0.4828531383193072,34149,8514,10361,2591
5,M2_SHUFFLED_ACTIVITY,11.775608720351627,15.411724328984489,0.4830060137251111,34149,8514,10361,2591
6,M2_SHUFFLED_ACTIVITY,11.789608132762426,15.413303517453565,0.48290005896589416,34149,8514,10361,2591
7,M2_SHUFFLED_ACTIVITY,11.790893039044272,15.418223191442166,0.48256990662415766,34149,8514,10361,2591
8,M2_SHUFFLED_ACTIVITY,11.795478871412756,15.431308903632106,0.4816912302029387,34149,8514,10361,2591
9,M2_SHUFFLED_ACTIVITY,11.777219834567623,15.418428368787803,0.48255613517485574,34149,8514,10361,2591
10,M2_SHUFFLED_ACTIVITY,11.77740659461172,15.412212150200904,0.4829732847946834,34149,8514,10361,2591
11,M2_SHUFFLED_ACTIVITY,11.755539312349592,15.404826925729758,0.4834686638449598,34149,8514,10361,2591
12,M2_SHUFFLED_ACTIVITY,11.768599841254717,15.40895000705451,0.48319212900016173,34149,8514,10361,2591
13,M2_SHUFFLED_ACTIVITY,11.77653318634986,15.416368594750443,0.48269437834995577,34149,8514,10361,2591
14,M2_SHUFFLED_ACTIVITY,11.798295208970913,15.435760753515238,0.48139212846222956,34149,8514,10361,2591
15,M2_SHUFFLED_ACTIVITY,11.780873358201852,15.425672087040672,0.48206982127149367,34149,8514,10361,2591
16,M2_SHUFFLED_ACTIVITY,11.778403705975364,15.420434422194424,0.48242147974434857,34149,8514,10361,2591
17,M2_SHUFFLED_ACTIVITY,11.761607126792878,15.40141374074908,0.4836975299912466,34149,8514,10361,2591
18,M2_SHUFFLED_ACTIVITY,11.758070829931349,15.41169461903177,0.4830080069935806,34149,8514,10361,2591
19,M2_SHUFFLED_ACTIVITY,11.784317564878185,15.42421671947775,0.4821675470910628,34149,8514,10361,2591
20,M2_SHUFFLED_ACTIVITY,11.75606331537202,15.39007796695438,0.4844572698769003,34149,8514,10361,2591
