number,group,opened_at_dt,next_dt_hours,impact_num,urgency_num,O_first_update_hours,X_backlog_30d,C_throughput_30d,C_capacity_proxy,C_prior_mean_resolution,next_Y_hours,delta_lt_Tr
INC0000045,Group 56,2016-02-29 01:16:00,15.15,2.0,2.0,0.11666666666666667,0,0,1.0,,4.0,1
INC0000047,Group 70,2016-02-29 04:40:00,1.5,2.0,2.0,0.2833333333333333,0,0,1.0,,20.75,1
INC0000057,Group 70,2016-02-29 06:10:00,0.8,2.0,2.0,0.26666666666666666,1,0,0.5,,8.883333333333333,1
INC0000060,Group 25,2016-02-29 06:38:00,2.6666666666666665,2.0,2.0,0.06666666666666667,0,0,1.0,,58.2,1
INC0000062,Group 70,2016-02-29 06:58:00,0.16666666666666666,2.0,2.0,0.4666666666666667,2,0,0.3333333333333333,,8.883333333333333,1
INC0000063,Group 70,2016-02-29 07:08:00,0.03333333333333333,2.0,2.0,0.15,3,0,0.25,,80.83333333333333,1
INC0000064,Group 70,2016-02-29 07:10:00,0.8833333333333333,2.0,2.0,0.06666666666666667,4,0,0.2,,54.56666666666667,1
INC0000065,Group 5,2016-02-29 07:38:00,31.133333333333333,2.0,2.0,0.13333333333333333,0,0,1.0,,881.7166666666667,0
INC0000066,Group 70,2016-02-29 08:03:00,0.0,2.0,2.0,0.25,5,0,0.16666666666666666,,51.13333333333333,1
INC0000067,Group 70,2016-02-29 08:03:00,0.13333333333333333,2.0,2.0,0.03333333333333333,5,0,0.16666666666666666,,193.73333333333332,1
INC0000070,Group 70,2016-02-29 08:11:00,0.18333333333333332,2.0,2.0,0.45,7,0,0.125,,31.25,1
INC0000071,Group 24,2016-02-29 08:12:00,1.1666666666666667,2.0,2.0,0.08333333333333333,0,0,1.0,,23.683333333333334,1
INC0000073,Group 70,2016-02-29 08:22:00,0.08333333333333333,2.0,2.0,0.13333333333333333,8,0,0.1111111111111111,,0.6166666666666667,1
INC0000074,Group 66,2016-02-29 08:23:00,0.26666666666666666,2.0,2.0,0.0,0,0,1.0,,1038.1166666666666,1
