number,group,opened_at_dt,next_dt_hours,impact_num,urgency_num,O_first_update_hours,X_backlog_30d,C_throughput_30d,C_capacity_proxy,C_prior_mean_resolution,H_prior_open_30d,H_prior_open_90d,H_prior_mean_duration_90d,next_Y_hours,delta_lt_24
INC0000045,Group 56,2016-02-29 01:16:00,15.15,2.0,2.0,0.11666666666666667,0,0,1.0,,0,0,,4.0,1
INC0000047,Group 70,2016-02-29 04:40:00,1.5,2.0,2.0,0.2833333333333333,0,0,1.0,,0,0,,20.75,1
INC0000057,Group 70,2016-02-29 06:10:00,0.8,2.0,2.0,0.26666666666666666,1,0,0.5,,1,1,,8.883333333333333,1
INC0000060,Group 25,2016-02-29 06:38:00,2.6666666666666665,2.0,2.0,0.06666666666666667,0,0,1.0,,0,0,,58.2,1
INC0000062,Group 70,2016-02-29 06:58:00,0.16666666666666666,2.0,2.0,0.4666666666666667,2,0,0.3333333333333333,,2,2,,8.883333333333333,1
INC0000063,Group 70,2016-02-29 07:08:00,0.03333333333333333,2.0,2.0,0.15,3,0,0.25,,3,3,,80.83333333333333,1
INC0000064,Group 70,2016-02-29 07:10:00,0.8833333333333333,2.0,2.0,0.06666666666666667,4,0,0.2,,4,4,,54.56666666666667,1
INC0000065,Group 5,2016-02-29 07:38:00,31.133333333333333,2.0,2.0,0.13333333333333333,0,0,1.0,,0,0,,881.7166666666667,0
INC0000066,Group 70,2016-02-29 08:03:00,0.0,2.0,2.0,0.25,5,0,0.16666666666666666,,5,5,,51.13333333333333,1
INC0000067,Group 70,2016-02-29 08:03:00,0.13333333333333333,2.0,2.0,0.03333333333333333,5,0,0.16666666666666666,,5,5,,193.73333333333332,1
INC0000070,Group 70,2016-02-29 08:11:00,0.18333333333333332,2.0,2.0,0.45,7,0,0.125,,7,7,,31.25,1
INC0000071,Group 24,2016-02-29 08:12:00,1.1666666666666667,2.0,2.0,0.08333333333333333,0,0,1.0,,0,0,,23.683333333333334,1
INC0000073,Group 70,2016-02-29 08:22:00,0.08333333333333333,2.0,2.0,0.13333333333333333,8,0,0.1111111111111111,,8,8,,0.6166666666666667,1
INC0000074,Group 66,2016-02-29 08:23:00,0.26666666666666666,2.0,2.0,0.0,0,0,1.0,,0,0,,1038.1166666666666,1
INC0000076,Group 23,2016-02-29 08:25:00,1.0,2.0,2.0,0.06666666666666667,0,0,1.0,,0,0,,7.1,1
INC0000077,Group 70,2016-02-29 08:27:00,0.08333333333333333,2.0,2.0,0.0,9,0,0.1,,9,9,,2.8,1
INC0000079,Group 70,2016-02-29 08:32:00,0.016666666666666666,2.0,2.0,0.0,10,0,0.09090909090909091,,10,10,,51.11666666666667,1
INC0000080,Group 70,2016-02-29 08:33:00,0.1,2.0,2.0,0.0,11,0,0.08333333333333333,,11,11,,7.433333333333334,1
INC0000083,Group 70,2016-02-29 08:39:00,0.06666666666666667,3.0,3.0,0.2833333333333333,12,0,0.07692307692307693,,12,12,,31.033333333333335,1
INC0000084,Group 66,2016-02-29 08:39:00,0.31666666666666665,3.0,3.0,0.0,1,0,0.5,,1,1,,241.78333333333333,1
INC0000085,Group 54,2016-02-29 08:41:00,0.1,2.0,2.0,0.1,0,0,1.0,,0,0,,53.983333333333334,1
INC0000086,Group 70,2016-02-29 08:43:00,0.08333333333333333,2.0,2.0,0.1,13,0,0.07142857142857142,,13,13,,0.2833333333333333,1
INC0000087,Group 54,2016-02-29 08:47:00,0.3,2.0,2.0,0.15,1,0,0.5,,1,1,,53.8,1
INC0000088,Group 70,2016-02-29 08:48:00,0.23333333333333334,2.0,2.0,0.0,14,0,0.06666666666666667,,14,14,,53.81666666666667,1
INC0000089,Group 68,2016-02-29 08:51:00,49.18333333333333,2.0,3.0,0.2,0,0,1.0,,0,0,,295.6,0
INC0000092,Group 27,2016-02-29 08:55:00,0.4166666666666667,2.0,2.0,0.0,0,0,1.0,,0,0,,26.7,1
INC0000094,Group 66,2016-02-29 08:58:00,0.7166666666666667,3.0,3.0,0.0,2,0,0.3333333333333333,,2,2,,71.76666666666667,1
INC0000098,Group 70,2016-02-29 09:02:00,0.016666666666666666,2.0,2.0,0.1,15,0,0.0625,,15,15,,24.033333333333335,1
INC0000099,Group 70,2016-02-29 09:03:00,0.05,2.0,2.0,0.05,16,0,0.058823529411764705,,16,16,,415.3666666666667,1
INC0000100,Group 54,2016-02-29 09:05:00,0.03333333333333333,2.0,2.0,0.1,2,0,0.3333333333333333,,2,2,,53.78333333333333,1
INC0000101,Group 65,2016-02-29 09:05:00,1.5166666666666666,2.0,3.0,0.13333333333333333,0,0,1.0,,0,0,,1012.2166666666667,1
INC0000102,Group 70,2016-02-29 09:06:00,0.03333333333333333,2.0,2.0,0.11666666666666667,17,0,0.05555555555555555,,17,17,,26.783333333333335,1
INC0000103,Group 54,2016-02-29 09:07:00,0.1,2.0,2.0,0.05,3,0,0.25,,3,3,,53.7,1
INC0000104,Group 70,2016-02-29 09:08:00,0.03333333333333333,2.0,2.0,0.15,18,0,0.05263157894736842,,18,18,,2.8,1
INC0000105,Group 70,2016-02-29 09:10:00,0.08333333333333333,2.0,2.0,0.05,19,0,0.05,,19,19,,53.96666666666667,1
INC0000110,Group 54,2016-02-29 09:13:00,0.016666666666666666,2.0,2.0,0.1,4,0,0.2,,4,4,,53.7,1
INC0000111,Group 54,2016-02-29 09:14:00,0.06666666666666667,2.0,2.0,0.08333333333333333,5,0,0.16666666666666666,,5,5,,64.0,1
INC0000112,Group 70,2016-02-29 09:15:00,0.08333333333333333,2.0,2.0,0.05,20,0,0.047619047619047616,,20,20,,23.5,1
INC0000113,Group 25,2016-02-29 09:18:00,3.4166666666666665,2.0,2.0,0.016666666666666666,1,0,0.5,,1,1,,44.416666666666664,1
INC0000114,Group 54,2016-02-29 09:18:00,0.18333333333333332,2.0,2.0,0.0,6,0,0.14285714285714285,,6,6,,53.45,1
INC0000115,Group 70,2016-02-29 09:20:00,0.11666666666666667,2.0,2.0,0.18333333333333332,21,0,0.045454545454545456,,21,21,,31.383333333333333,1
