MAE_hours,RMSE_hours,R2,segment,model
217.1628959763033,456.42459993769864,0.3298638297691353,early,M0
176.89419283457858,460.1526678658926,0.3188718006251742,early,M3
182.57660038314225,457.6151856296992,0.3263631633295432,early,MH
172.6434865851951,460.2558122509165,0.31856641318304413,early,MHXC
177.64592690570834,430.79879319520427,0.042540220753016666,late,M0
192.55896382243918,444.24161769064125,-0.018146018068521785,late,M3
183.59562772720116,438.2473680367377,0.009144746557187333,late,MH
189.37445128340366,441.7343115056522,-0.006685588986931501,late,MHXC
285.1551950843044,434.49079887232324,-0.2623445408070788,impact_1.0,M0
262.2428091920518,395.0101902299278,-0.043357968496710475,impact_1.0,M3
288.6375690129051,451.2498692899913,-0.3616043073987878,impact_1.0,MH
292.58559228211755,447.3648703135329,-0.3382599897020371,impact_1.0,MHXC
190.79575363745374,411.3493971118589,0.09228203157683768,impact_2.0,M0
177.95375086140012,408.5603632382073,0.10454933330881366,impact_2.0,M3
186.57375840655564,422.36750305432236,0.043003841174372615,impact_2.0,MH
185.25972691072874,421.7511942913155,0.045794656280562784,impact_2.0,MHXC
202.10071826966893,479.8437030621617,0.034201265267508774,impact_3.0,M0
181.4818318120371,493.032556502734,-0.019619724494202906,impact_3.0,M3
119.90328556397355,478.20470756517983,0.04078772812775233,impact_3.0,MH
124.68044872158421,482.3430391470004,0.024114055315818006,impact_3.0,MHXC
